qid,text,answer,source
CD_RISC_15,I prefer to take the lead in problem-solving.,Intellectual,gemini-3.0-pro
CD_RISC_16,I am not easily discouraged by failure.,Emotional,gemini-3.0-pro
CD_RISC_17,I think of myself as a strong person when dealing with life's challenges and difficulties.,Emotional,gemini-3.0-pro
CD_RISC_18,I make unpopular or difficult decisions.,Spiritual,gemini-3.0-pro
CD_RISC_19,"I am able to handle unpleasant or painful feelings like sadness, fear, and anger.",Emotional,gemini-3.0-pro
CD_RISC_2,I have one close and secure relationship.,Social,gemini-3.0-pro
CD_RISC_20,I have to act on a hunch.,Social,gemini-3.0-pro
CD_RISC_25,I take pride in my achievements,Occupational,gemini-3.0-pro
CD_RISC_3,Sometimes fate or God helps me.,Spiritual,gemini-3.0-pro
CD_RISC_4,I can deal with whatever comes my way.,Emotional,gemini-3.0-pro
CD_RISC_5,Past successes give me confidence.,Occupational,gemini-3.0-pro
CD_RISC_6,I try to see the humorous side of things when I am faced with problems.,Emotional,gemini-3.0-pro
CD_RISC_7,Having to cope with stress can make me stronger.,Emotional,gemini-3.0-pro
CD_RISC_8,"I tend to bounce back after illness, injury, or other hardships.",Emotional,gemini-3.0-pro
CD_RISC_9,I believe most things happen for a reason.,Spiritual,gemini-3.0-pro
PERMA1_1,How much of the time do you feel you are making progress towards accomplishing your goals?,Occupational,gemini-3.0-pro
PERMA1_2,How often do you become absorbed in what you are doing?,Occupational,gemini-3.0-pro
PERMA1_3,How often do you feel joyful?,Occupational,gemini-3.0-pro
PERMA1_4,How often do you feel anxious?,Emotional,gemini-3.0-pro
PERMA1_5,How often do you achieve the important goals you have set for yourself?,Occupational,gemini-3.0-pro
PERMA2_1,How would you say your health is?,Physical,gemini-3.0-pro
PERMA3_1,To what extent do you lead a purposeful and meaningful life?,Spiritual,gemini-3.0-pro
PERMA3_2,To what extent do you receive help and support from others when you need it?,Social,gemini-3.0-pro
PERMA3_3,To what extent do you feel that what you do in your life is valuable and worthwhile?,Occupational,gemini-3.0-pro
PERMA3_4,To what extent do you feel excited and interested in things?,Intellectual,gemini-3.0-pro
PERMA3_5,How lonely do you feel in your daily life?,Emotional,gemini-3.0-pro
PERMA4_1,How satisfied are you with your current physical health?,Physical,gemini-3.0-pro
PERMA5_1,How often do you feel positive?,Emotional,gemini-3.0-pro
PERMA5_2,How often do you feel angry?,Emotional,gemini-3.0-pro
PERMA5_3,How often are you able to handle your responsibilities?,Emotional,gemini-3.0-pro
PERMA5_4,How often do you feel sad?,Emotional,gemini-3.0-pro
PERMA5_5,How often do you lose track of time while doing something you enjoy?,Occupational,gemini-3.0-pro
PERMA6_1,"Compared to others of your same age and sex, how is your health?",Physical,gemini-3.0-pro
PERMA7_1,To what extent do you feel you have a sense of direction in your life?,Spiritual,gemini-3.0-pro
PERMA7_2,How satisfied are you with your personal relationships?,Social,gemini-3.0-pro
PERMA7_3,To what extent do you feel loved?,Emotional,gemini-3.0-pro
PERMA7_4,To what extent do you feel contented?,Emotional,gemini-3.0-pro
PERMA8_1,"Taking all things together, how happy would you say you are?",Occupational,gemini-3.0-pro
PSS_1,"During the past month, what time have you usually gone to bed at night?",Occupational,gemini-3.0-pro
PSS_10_1,"During the past month, how often has your bed partner or room mate reported loud snoring?",Social,gemini-3.0-pro
PSS_10_2,"During the past month, how often has your bed partner or room mate reported long pauses between breaths while asleep?",Emotional,gemini-3.0-pro
PSS_10_3,"During the past month, how often has your bed partner or room mate reported legs twitching or jerking while asleep?",Physical,gemini-3.0-pro
PSS_10_4,"During the past month, how often has your bed partner or room mate reported episodes of disorientation or confusion during sleep?",Emotional,gemini-3.0-pro
PSS_10_5,"During the past month, how often has your bed partner or room mate reported other restlessness while you sleep?",Emotional,gemini-3.0-pro
PSS_2,"During the past month, how long (in minutes) has it usually taken you to fall asleep each night?",Emotional,gemini-3.0-pro
PSS_3,"During the past month, what time have you usually gotten up in the morning?",Occupational,gemini-3.0-pro
PSS_4,"During the past month, how many hours of actual sleep did you get at night?",Occupational,gemini-3.0-pro
PSS_5_1,"During the past month, how often have you had trouble sleeping because you cannot get to sleep within 30 minutes?",Emotional,gemini-3.0-pro
PSS_5_10,"During the past month, how often have you had trouble sleeping because of other reasons?",Emotional,gemini-3.0-pro
PSS_5_2,"During the past month, how often have you had trouble sleeping because you wake up in the middle of the night or early morning?",Emotional,gemini-3.0-pro
PSS_5_3,"During the past month, how often have you had trouble sleeping because you have to get up to use the bathroom?",Emotional,gemini-3.0-pro
PSS_5_4,"During the past month, how often have you had trouble sleeping because you cannot breathe comfortably?",Emotional,gemini-3.0-pro
PSS_5_5,"During the past month, how often have you had trouble sleeping because you cough or snore loudly?",Emotional,gemini-3.0-pro
PSS_5_6,"During the past month, how often have you had trouble sleeping because you feel too cold?",Emotional,gemini-3.0-pro
PSS_5_7,"During the past month, how often have you had trouble sleeping because you feel too hot?",Emotional,gemini-3.0-pro
PSS_5_8,"During the past month, how often have you had trouble sleeping because you have bad dreams?",Emotional,gemini-3.0-pro
PSS_5_9,"During the past month, how often have you had trouble sleeping because you have pain?",Emotional,gemini-3.0-pro
PSS_6,"During the past month, how would you rate your sleep quality overall?",Physical,gemini-3.0-pro
PSS_7,"During the past month, how often have you taken medicine to help you sleep (prescribed or over the counter)?",Emotional,gemini-3.0-pro
PSS_8,"During the past month, how often have you had trouble staying awake while driving, eating meals, or engaging in social activity?",Emotional,gemini-3.0-pro
PSS_9,"During the past month, how much of a problem has it been for you to keep up enough enthusiasm to get things done?",Emotional,gemini-3.0-pro
PWB_11,"For me, life has been a continuous process of learning, changing, and growth.",Emotional,gemini-3.0-pro
PWB_12,I think it is important to have new experiences that challenge how I think about myself and the world.,Spiritual,gemini-3.0-pro
PWB_13,"People would describe me as a giving person, willing to share my time with others.",Occupational,gemini-3.0-pro
PWB_14,I gave up trying to make big improvements or changes in my life a long time ago.,Emotional,gemini-3.0-pro
PWB_15,I tend to be influenced by people with strong opinions.,Spiritual,gemini-3.0-pro
PWB_16,I have not experienced many warm and trusting relationships with others.,Social,gemini-3.0-pro
PWB_17,"I have confidence in my own opinions, even if they are different from the way most other people think.",Spiritual,gemini-3.0-pro
PWB_18,"I judge myself by what I think is important, not by the values of what others think is important.",Spiritual,gemini-3.0-pro
PWS_1,I am always optimistic about my future.,Financial,gemini-3.0-pro
PWS_2,There have been times when I felt inferior to most of the people I knew.,Emotional,gemini-3.0-pro
PWS_3,Members of my family come to me for support.,Social,gemini-3.0-pro
