qid,dataset,text,dimension_model,dimensions
CD_RISC_19,HUMAN,"I am able to handle unpleasant or painful feelings like sadness, fear, and anger.",human_04,['Emotional']
CD_RISC_19,HUMAN,"I am able to handle unpleasant or painful feelings like sadness, fear, and anger.",human_05,['Emotional']
CD_RISC_19,HUMAN,"I am able to handle unpleasant or painful feelings like sadness, fear, and anger.",human_06,['Emotional']
CD_RISC_19,HUMAN,"I am able to handle unpleasant or painful feelings like sadness, fear, and anger.",human_07,['Emotional']
CD_RISC_19,HUMAN,"I am able to handle unpleasant or painful feelings like sadness, fear, and anger.",human_08,['Emotional']
CD_RISC_19,HUMAN,"I am able to handle unpleasant or painful feelings like sadness, fear, and anger.",human_09,['Emotional']
CD_RISC_19,HUMAN,"I am able to handle unpleasant or painful feelings like sadness, fear, and anger.",human_10,['Emotional']
CD_RISC_19,HUMAN,"I am able to handle unpleasant or painful feelings like sadness, fear, and anger.",human_11,['Emotional']
CD_RISC_19,HUMAN,"I am able to handle unpleasant or painful feelings like sadness, fear, and anger.",human_12,['Emotional']
CD_RISC_19,HUMAN,"I am able to handle unpleasant or painful feelings like sadness, fear, and anger.",human_13,['Emotional']
CD_RISC_19,HUMAN,"I am able to handle unpleasant or painful feelings like sadness, fear, and anger.",human_14,['Emotional']
CD_RISC_19,HUMAN,"I am able to handle unpleasant or painful feelings like sadness, fear, and anger.",human_15,['Emotional']
CD_RISC_19,HUMAN,"I am able to handle unpleasant or painful feelings like sadness, fear, and anger.",human_16,['Emotional']
CD_RISC_19,HUMAN,"I am able to handle unpleasant or painful feelings like sadness, fear, and anger.",human_17,['Emotional']
CD_RISC_19,HUMAN,"I am able to handle unpleasant or painful feelings like sadness, fear, and anger.",human_18,['Emotional']
CD_RISC_19,HUMAN,"I am able to handle unpleasant or painful feelings like sadness, fear, and anger.",human_19,['Environmental']
CD_RISC_19,HUMAN,"I am able to handle unpleasant or painful feelings like sadness, fear, and anger.",human_20,['Emotional']
CD_RISC_19,HUMAN,"I am able to handle unpleasant or painful feelings like sadness, fear, and anger.",human_21,['Intellectual']
CD_RISC_19,HUMAN,"I am able to handle unpleasant or painful feelings like sadness, fear, and anger.",human_22,['Emotional']
CD_RISC_19,HUMAN,"I am able to handle unpleasant or painful feelings like sadness, fear, and anger.",human_23,['Emotional']
CD_RISC_19,HUMAN,"I am able to handle unpleasant or painful feelings like sadness, fear, and anger.",human_24,['Emotional']
CD_RISC_19,HUMAN,"I am able to handle unpleasant or painful feelings like sadness, fear, and anger.",human_25,['Emotional']
CD_RISC_19,HUMAN,"I am able to handle unpleasant or painful feelings like sadness, fear, and anger.",human_26,['Emotional']
CD_RISC_19,HUMAN,"I am able to handle unpleasant or painful feelings like sadness, fear, and anger.",human_27,['Emotional']
CD_RISC_19,HUMAN,"I am able to handle unpleasant or painful feelings like sadness, fear, and anger.",human_28,['Emotional']
CD_RISC_20,HUMAN,I have to act on a hunch.,human_01,['Emotional']
CD_RISC_20,HUMAN,I have to act on a hunch.,human_02,['Emotional']
CD_RISC_20,HUMAN,I have to act on a hunch.,human_03,['Intellectual']
CD_RISC_20,HUMAN,I have to act on a hunch.,human_04,['Intellectual']
CD_RISC_20,HUMAN,I have to act on a hunch.,human_05,['Intellectual']
CD_RISC_20,HUMAN,I have to act on a hunch.,human_06,['Emotional']
CD_RISC_20,HUMAN,I have to act on a hunch.,human_07,['Emotional']
CD_RISC_20,HUMAN,I have to act on a hunch.,human_08,['Intellectual']
CD_RISC_20,HUMAN,I have to act on a hunch.,human_09,['Spiritual']
CD_RISC_20,HUMAN,I have to act on a hunch.,human_10,['Emotional']
CD_RISC_20,HUMAN,I have to act on a hunch.,human_11,['Emotional']
CD_RISC_20,HUMAN,I have to act on a hunch.,human_12,['Intellectual']
CD_RISC_20,HUMAN,I have to act on a hunch.,human_13,['Emotional']
CD_RISC_20,HUMAN,I have to act on a hunch.,human_14,['Emotional']
CD_RISC_20,HUMAN,I have to act on a hunch.,human_15,['Emotional']
CD_RISC_20,HUMAN,I have to act on a hunch.,human_16,['Emotional']
CD_RISC_20,HUMAN,I have to act on a hunch.,human_17,['Emotional']
CD_RISC_20,HUMAN,I have to act on a hunch.,human_18,['Intellectual']
CD_RISC_20,HUMAN,I have to act on a hunch.,human_19,['Social']
CD_RISC_20,HUMAN,I have to act on a hunch.,human_20,['Emotional']
CD_RISC_20,HUMAN,I have to act on a hunch.,human_21,['Intellectual']
CD_RISC_20,HUMAN,I have to act on a hunch.,human_22,['Intellectual']
CD_RISC_20,HUMAN,I have to act on a hunch.,human_23,['Occupational']
CD_RISC_20,HUMAN,I have to act on a hunch.,human_24,['Emotional']
CD_RISC_20,HUMAN,I have to act on a hunch.,human_25,['Intellectual']
CD_RISC_20,HUMAN,I have to act on a hunch.,human_26,['Spiritual']
CD_RISC_20,HUMAN,I have to act on a hunch.,human_27,['Spiritual']
CD_RISC_20,HUMAN,I have to act on a hunch.,human_28,['Spiritual']
CD_RISC_22,HUMAN,I feel like I am in control.,human_01,['Emotional']
CD_RISC_22,HUMAN,I feel like I am in control.,human_02,['Emotional']
CD_RISC_22,HUMAN,I feel like I am in control.,human_03,['Spiritual']
CD_RISC_22,HUMAN,I feel like I am in control.,human_04,['Emotional']
CD_RISC_22,HUMAN,I feel like I am in control.,human_05,['Environmental']
CD_RISC_22,HUMAN,I feel like I am in control.,human_06,['Emotional']
CD_RISC_22,HUMAN,I feel like I am in control.,human_07,['Emotional']
CD_RISC_22,HUMAN,I feel like I am in control.,human_08,['Emotional']
CD_RISC_22,HUMAN,I feel like I am in control.,human_09,['Emotional']
CD_RISC_22,HUMAN,I feel like I am in control.,human_10,['Emotional']
CD_RISC_22,HUMAN,I feel like I am in control.,human_11,['Emotional']
CD_RISC_22,HUMAN,I feel like I am in control.,human_12,['Environmental']
CD_RISC_22,HUMAN,I feel like I am in control.,human_13,['Emotional']
CD_RISC_22,HUMAN,I feel like I am in control.,human_14,['Emotional']
CD_RISC_22,HUMAN,I feel like I am in control.,human_15,['Spiritual']
CD_RISC_22,HUMAN,I feel like I am in control.,human_16,['Emotional']
CD_RISC_22,HUMAN,I feel like I am in control.,human_17,['Emotional']
CD_RISC_22,HUMAN,I feel like I am in control.,human_18,['Emotional']
CD_RISC_22,HUMAN,I feel like I am in control.,human_19,['Environmental']
CD_RISC_22,HUMAN,I feel like I am in control.,human_20,['Emotional']
CD_RISC_22,HUMAN,I feel like I am in control.,human_21,['Spiritual']
CD_RISC_22,HUMAN,I feel like I am in control.,human_22,['Spiritual']
CD_RISC_22,HUMAN,I feel like I am in control.,human_23,['Environmental']
CD_RISC_22,HUMAN,I feel like I am in control.,human_24,['Emotional']
CD_RISC_22,HUMAN,I feel like I am in control.,human_25,['Intellectual']
CD_RISC_22,HUMAN,I feel like I am in control.,human_26,['Spiritual']
CD_RISC_22,HUMAN,I feel like I am in control.,human_27,['Spiritual']
CD_RISC_22,HUMAN,I feel like I am in control.,human_28,['Environmental']
PERMA1_1,HUMAN,How much of the time do you feel you are making progress towards accomplishing your goals?,human_01,['Intellectual']
PERMA1_1,HUMAN,How much of the time do you feel you are making progress towards accomplishing your goals?,human_02,['Emotional']
PERMA1_1,HUMAN,How much of the time do you feel you are making progress towards accomplishing your goals?,human_03,['Emotional']
PERMA1_1,HUMAN,How much of the time do you feel you are making progress towards accomplishing your goals?,human_04,['Occupational']
PERMA1_1,HUMAN,How much of the time do you feel you are making progress towards accomplishing your goals?,human_05,['Intellectual']
PERMA1_1,HUMAN,How much of the time do you feel you are making progress towards accomplishing your goals?,human_06,['Occupational']
PERMA1_1,HUMAN,How much of the time do you feel you are making progress towards accomplishing your goals?,human_07,['Intellectual']
PERMA1_1,HUMAN,How much of the time do you feel you are making progress towards accomplishing your goals?,human_08,['Occupational']
PERMA1_1,HUMAN,How much of the time do you feel you are making progress towards accomplishing your goals?,human_09,['Occupational']
PERMA1_1,HUMAN,How much of the time do you feel you are making progress towards accomplishing your goals?,human_10,['Occupational']
PERMA1_1,HUMAN,How much of the time do you feel you are making progress towards accomplishing your goals?,human_11,['Occupational']
PERMA1_1,HUMAN,How much of the time do you feel you are making progress towards accomplishing your goals?,human_12,['Occupational']
PERMA1_1,HUMAN,How much of the time do you feel you are making progress towards accomplishing your goals?,human_13,['Intellectual']
PERMA1_1,HUMAN,How much of the time do you feel you are making progress towards accomplishing your goals?,human_14,['Occupational']
PERMA1_1,HUMAN,How much of the time do you feel you are making progress towards accomplishing your goals?,human_15,['Environmental']
PERMA1_1,HUMAN,How much of the time do you feel you are making progress towards accomplishing your goals?,human_16,['Occupational']
PERMA1_1,HUMAN,How much of the time do you feel you are making progress towards accomplishing your goals?,human_17,['Occupational']
PERMA1_1,HUMAN,How much of the time do you feel you are making progress towards accomplishing your goals?,human_18,['Emotional']
PERMA1_1,HUMAN,How much of the time do you feel you are making progress towards accomplishing your goals?,human_19,['Intellectual']
PERMA1_1,HUMAN,How much of the time do you feel you are making progress towards accomplishing your goals?,human_20,['Occupational']
PERMA1_1,HUMAN,How much of the time do you feel you are making progress towards accomplishing your goals?,human_21,['Intellectual']
PERMA1_1,HUMAN,How much of the time do you feel you are making progress towards accomplishing your goals?,human_22,['Occupational']
PERMA1_1,HUMAN,How much of the time do you feel you are making progress towards accomplishing your goals?,human_23,['Occupational']
PERMA1_1,HUMAN,How much of the time do you feel you are making progress towards accomplishing your goals?,human_24,['Occupational']
PERMA1_1,HUMAN,How much of the time do you feel you are making progress towards accomplishing your goals?,human_25,['Occupational']
PERMA1_1,HUMAN,How much of the time do you feel you are making progress towards accomplishing your goals?,human_26,['Occupational']
PERMA1_1,HUMAN,How much of the time do you feel you are making progress towards accomplishing your goals?,human_27,['Occupational']
PERMA1_1,HUMAN,How much of the time do you feel you are making progress towards accomplishing your goals?,human_28,['Occupational']
PERMA1_2,HUMAN,How often do you become absorbed in what you are doing?,human_01,['Emotional']
PERMA1_2,HUMAN,How often do you become absorbed in what you are doing?,human_02,['Occupational']
PERMA1_2,HUMAN,How often do you become absorbed in what you are doing?,human_03,['Emotional']
PERMA1_2,HUMAN,How often do you become absorbed in what you are doing?,human_04,['Intellectual']
PERMA1_2,HUMAN,How often do you become absorbed in what you are doing?,human_05,['Intellectual']
PERMA1_2,HUMAN,How often do you become absorbed in what you are doing?,human_06,['Intellectual']
PERMA1_2,HUMAN,How often do you become absorbed in what you are doing?,human_07,['Emotional']
PERMA1_2,HUMAN,How often do you become absorbed in what you are doing?,human_08,['Spiritual']
PERMA1_2,HUMAN,How often do you become absorbed in what you are doing?,human_09,['Occupational']
PERMA1_2,HUMAN,How often do you become absorbed in what you are doing?,human_10,['Occupational']
PERMA1_2,HUMAN,How often do you become absorbed in what you are doing?,human_11,['Emotional']
PERMA1_2,HUMAN,How often do you become absorbed in what you are doing?,human_12,['Intellectual']
PERMA1_2,HUMAN,How often do you become absorbed in what you are doing?,human_13,['Intellectual']
PERMA1_2,HUMAN,How often do you become absorbed in what you are doing?,human_14,['Occupational']
PERMA1_2,HUMAN,How often do you become absorbed in what you are doing?,human_15,['Environmental']
PERMA1_2,HUMAN,How often do you become absorbed in what you are doing?,human_16,['Occupational']
PERMA1_2,HUMAN,How often do you become absorbed in what you are doing?,human_17,['Emotional']
PERMA1_2,HUMAN,How often do you become absorbed in what you are doing?,human_18,['Emotional']
PERMA1_2,HUMAN,How often do you become absorbed in what you are doing?,human_19,['Intellectual']
PERMA1_2,HUMAN,How often do you become absorbed in what you are doing?,human_20,['Emotional']
PERMA1_2,HUMAN,How often do you become absorbed in what you are doing?,human_21,['Intellectual']
PERMA1_2,HUMAN,How often do you become absorbed in what you are doing?,human_22,['Occupational']
PERMA1_2,HUMAN,How often do you become absorbed in what you are doing?,human_23,['Occupational']
PERMA1_2,HUMAN,How often do you become absorbed in what you are doing?,human_24,['Intellectual']
PERMA1_2,HUMAN,How often do you become absorbed in what you are doing?,human_25,['Intellectual']
PERMA1_2,HUMAN,How often do you become absorbed in what you are doing?,human_26,['Occupational']
PERMA1_2,HUMAN,How often do you become absorbed in what you are doing?,human_27,['Environmental']
PERMA1_2,HUMAN,How often do you become absorbed in what you are doing?,human_28,['Occupational']
PERMA1_3,HUMAN,How often do you feel joyful?,human_01,['Emotional']
PERMA1_3,HUMAN,How often do you feel joyful?,human_02,['Emotional']
PERMA1_3,HUMAN,How often do you feel joyful?,human_03,['Emotional']
PERMA1_3,HUMAN,How often do you feel joyful?,human_04,['Emotional']
PERMA1_3,HUMAN,How often do you feel joyful?,human_05,['Emotional']
PERMA1_3,HUMAN,How often do you feel joyful?,human_06,['Emotional']
PERMA1_3,HUMAN,How often do you feel joyful?,human_07,['Emotional']
PERMA1_3,HUMAN,How often do you feel joyful?,human_08,['Emotional']
PERMA1_3,HUMAN,How often do you feel joyful?,human_09,['Emotional']
PERMA1_3,HUMAN,How often do you feel joyful?,human_10,['Emotional']
PERMA1_3,HUMAN,How often do you feel joyful?,human_11,['Emotional']
PERMA1_3,HUMAN,How often do you feel joyful?,human_12,['Emotional']
PERMA1_3,HUMAN,How often do you feel joyful?,human_13,['Emotional']
PERMA1_3,HUMAN,How often do you feel joyful?,human_14,['Emotional']
PERMA1_3,HUMAN,How often do you feel joyful?,human_15,['Emotional']
PERMA1_3,HUMAN,How often do you feel joyful?,human_16,['Emotional']
PERMA1_3,HUMAN,How often do you feel joyful?,human_17,['Emotional']
PERMA1_3,HUMAN,How often do you feel joyful?,human_18,['Environmental']
PERMA1_3,HUMAN,How often do you feel joyful?,human_19,['Emotional']
PERMA1_3,HUMAN,How often do you feel joyful?,human_20,['Emotional']
PERMA1_3,HUMAN,How often do you feel joyful?,human_21,['Emotional']
PERMA1_3,HUMAN,How often do you feel joyful?,human_22,['Emotional']
PERMA1_3,HUMAN,How often do you feel joyful?,human_23,['Emotional']
PERMA1_3,HUMAN,How often do you feel joyful?,human_24,['Emotional']
PERMA1_3,HUMAN,How often do you feel joyful?,human_25,['Emotional']
PERMA1_3,HUMAN,How often do you feel joyful?,human_26,['Spiritual']
PERMA1_3,HUMAN,How often do you feel joyful?,human_27,['Emotional']
PERMA1_3,HUMAN,How often do you feel joyful?,human_28,['Emotional']
PERMA1_4,HUMAN,How often do you feel anxious?,human_01,['Emotional']
PERMA1_4,HUMAN,How often do you feel anxious?,human_02,['Emotional']
PERMA1_4,HUMAN,How often do you feel anxious?,human_03,['Emotional']
PERMA1_4,HUMAN,How often do you feel anxious?,human_04,['Emotional']
PERMA1_4,HUMAN,How often do you feel anxious?,human_05,['Emotional']
PERMA1_4,HUMAN,How often do you feel anxious?,human_06,['Emotional']
PERMA1_4,HUMAN,How often do you feel anxious?,human_07,['Emotional']
PERMA1_4,HUMAN,How often do you feel anxious?,human_08,['Emotional']
PERMA1_4,HUMAN,How often do you feel anxious?,human_09,['Emotional']
PERMA1_4,HUMAN,How often do you feel anxious?,human_10,['Emotional']
PERMA1_4,HUMAN,How often do you feel anxious?,human_11,['Emotional']
PERMA1_4,HUMAN,How often do you feel anxious?,human_12,['Emotional']
PERMA1_4,HUMAN,How often do you feel anxious?,human_13,['Emotional']
PERMA1_4,HUMAN,How often do you feel anxious?,human_14,['Emotional']
PERMA1_4,HUMAN,How often do you feel anxious?,human_15,['Emotional']
PERMA1_4,HUMAN,How often do you feel anxious?,human_16,['Emotional']
PERMA1_4,HUMAN,How often do you feel anxious?,human_17,['Emotional']
PERMA1_4,HUMAN,How often do you feel anxious?,human_18,['Social']
PERMA1_4,HUMAN,How often do you feel anxious?,human_19,['Emotional']
PERMA1_4,HUMAN,How often do you feel anxious?,human_20,['Emotional']
PERMA1_4,HUMAN,How often do you feel anxious?,human_21,['Emotional']
PERMA1_4,HUMAN,How often do you feel anxious?,human_22,['Emotional']
PERMA1_4,HUMAN,How often do you feel anxious?,human_23,['Emotional']
PERMA1_4,HUMAN,How often do you feel anxious?,human_24,['Emotional']
PERMA1_4,HUMAN,How often do you feel anxious?,human_25,['Emotional']
PERMA1_4,HUMAN,How often do you feel anxious?,human_26,['Emotional']
PERMA1_4,HUMAN,How often do you feel anxious?,human_27,['Emotional']
PERMA1_4,HUMAN,How often do you feel anxious?,human_28,['Emotional']
PERMA1_5,HUMAN,How often do you achieve the important goals you have set for yourself?,human_01,['Emotional']
PERMA1_5,HUMAN,How often do you achieve the important goals you have set for yourself?,human_02,['Occupational']
PERMA1_5,HUMAN,How often do you achieve the important goals you have set for yourself?,human_03,['Intellectual']
PERMA1_5,HUMAN,How often do you achieve the important goals you have set for yourself?,human_04,['Occupational']
PERMA1_5,HUMAN,How often do you achieve the important goals you have set for yourself?,human_05,['Spiritual']
PERMA1_5,HUMAN,How often do you achieve the important goals you have set for yourself?,human_06,['Occupational']
PERMA1_5,HUMAN,How often do you achieve the important goals you have set for yourself?,human_07,['Intellectual']
PERMA1_5,HUMAN,How often do you achieve the important goals you have set for yourself?,human_08,['Occupational']
PERMA1_5,HUMAN,How often do you achieve the important goals you have set for yourself?,human_09,['Occupational']
PERMA1_5,HUMAN,How often do you achieve the important goals you have set for yourself?,human_10,['Occupational']
PERMA1_5,HUMAN,How often do you achieve the important goals you have set for yourself?,human_11,['Occupational']
PERMA1_5,HUMAN,How often do you achieve the important goals you have set for yourself?,human_12,['Intellectual']
PERMA1_5,HUMAN,How often do you achieve the important goals you have set for yourself?,human_13,['Intellectual']
PERMA1_5,HUMAN,How often do you achieve the important goals you have set for yourself?,human_14,['Intellectual']
PERMA1_5,HUMAN,How often do you achieve the important goals you have set for yourself?,human_15,['Intellectual']
PERMA1_5,HUMAN,How often do you achieve the important goals you have set for yourself?,human_16,['Occupational']
PERMA1_5,HUMAN,How often do you achieve the important goals you have set for yourself?,human_17,['Occupational']
PERMA1_5,HUMAN,How often do you achieve the important goals you have set for yourself?,human_18,['Environmental']
PERMA1_5,HUMAN,How often do you achieve the important goals you have set for yourself?,human_19,['Occupational']
PERMA1_5,HUMAN,How often do you achieve the important goals you have set for yourself?,human_20,['Occupational']
PERMA1_5,HUMAN,How often do you achieve the important goals you have set for yourself?,human_21,['Intellectual']
PERMA1_5,HUMAN,How often do you achieve the important goals you have set for yourself?,human_22,['Occupational']
PERMA1_5,HUMAN,How often do you achieve the important goals you have set for yourself?,human_23,['Occupational']
PERMA1_5,HUMAN,How often do you achieve the important goals you have set for yourself?,human_24,['Occupational']
PERMA1_5,HUMAN,How often do you achieve the important goals you have set for yourself?,human_25,['Occupational']
PERMA1_5,HUMAN,How often do you achieve the important goals you have set for yourself?,human_26,['Occupational']
PERMA1_5,HUMAN,How often do you achieve the important goals you have set for yourself?,human_27,['Occupational']
PERMA1_5,HUMAN,How often do you achieve the important goals you have set for yourself?,human_28,['Occupational']
PERMA2_1,HUMAN,How would you say your health is?,human_01,['Physical']
PERMA2_1,HUMAN,How would you say your health is?,human_02,['Physical']
PERMA2_1,HUMAN,How would you say your health is?,human_03,['Physical']
PERMA2_1,HUMAN,How would you say your health is?,human_04,['Physical']
PERMA2_1,HUMAN,How would you say your health is?,human_05,['Physical']
PERMA2_1,HUMAN,How would you say your health is?,human_06,['Physical']
PERMA2_1,HUMAN,How would you say your health is?,human_07,['Physical']
PERMA2_1,HUMAN,How would you say your health is?,human_08,['Physical']
PERMA2_1,HUMAN,How would you say your health is?,human_09,['Physical']
PERMA2_1,HUMAN,How would you say your health is?,human_10,['Physical']
PERMA2_1,HUMAN,How would you say your health is?,human_11,['Physical']
PERMA2_1,HUMAN,How would you say your health is?,human_12,['Physical']
PERMA2_1,HUMAN,How would you say your health is?,human_13,['Physical']
PERMA2_1,HUMAN,How would you say your health is?,human_14,['Physical']
PERMA2_1,HUMAN,How would you say your health is?,human_15,['Physical']
PERMA2_1,HUMAN,How would you say your health is?,human_16,['Physical']
PERMA2_1,HUMAN,How would you say your health is?,human_17,['Physical']
PERMA2_1,HUMAN,How would you say your health is?,human_18,['Social']
PERMA2_1,HUMAN,How would you say your health is?,human_19,['Physical']
PERMA2_1,HUMAN,How would you say your health is?,human_20,['Physical']
PERMA2_1,HUMAN,How would you say your health is?,human_21,['Physical']
PERMA2_1,HUMAN,How would you say your health is?,human_22,['Physical']
PERMA2_1,HUMAN,How would you say your health is?,human_23,['Physical']
PERMA2_1,HUMAN,How would you say your health is?,human_24,['Physical']
PERMA2_1,HUMAN,How would you say your health is?,human_25,['Physical']
PERMA2_1,HUMAN,How would you say your health is?,human_26,['Physical']
PERMA2_1,HUMAN,How would you say your health is?,human_27,['Physical']
PERMA2_1,HUMAN,How would you say your health is?,human_28,['Physical']
PERMA3_1,HUMAN,To what extent do you lead a purposeful and meaningful life?,human_01,['Spiritual']
PERMA3_1,HUMAN,To what extent do you lead a purposeful and meaningful life?,human_02,['Spiritual']
PERMA3_1,HUMAN,To what extent do you lead a purposeful and meaningful life?,human_03,['Emotional']
PERMA3_1,HUMAN,To what extent do you lead a purposeful and meaningful life?,human_04,['Spiritual']
PERMA3_1,HUMAN,To what extent do you lead a purposeful and meaningful life?,human_05,['Spiritual']
PERMA3_1,HUMAN,To what extent do you lead a purposeful and meaningful life?,human_06,['Spiritual']
PERMA3_1,HUMAN,To what extent do you lead a purposeful and meaningful life?,human_07,['Spiritual']
PERMA3_1,HUMAN,To what extent do you lead a purposeful and meaningful life?,human_08,['Spiritual']
PERMA3_1,HUMAN,To what extent do you lead a purposeful and meaningful life?,human_09,['Spiritual']
PERMA3_1,HUMAN,To what extent do you lead a purposeful and meaningful life?,human_10,['Spiritual']
PERMA3_1,HUMAN,To what extent do you lead a purposeful and meaningful life?,human_11,['Spiritual']
PERMA3_1,HUMAN,To what extent do you lead a purposeful and meaningful life?,human_12,['Spiritual']
PERMA3_1,HUMAN,To what extent do you lead a purposeful and meaningful life?,human_13,['Spiritual']
PERMA3_1,HUMAN,To what extent do you lead a purposeful and meaningful life?,human_14,['Spiritual']
PERMA3_1,HUMAN,To what extent do you lead a purposeful and meaningful life?,human_15,['Spiritual']
PERMA3_1,HUMAN,To what extent do you lead a purposeful and meaningful life?,human_16,['Emotional']
PERMA3_1,HUMAN,To what extent do you lead a purposeful and meaningful life?,human_17,['Spiritual']
PERMA3_1,HUMAN,To what extent do you lead a purposeful and meaningful life?,human_18,['Social']
PERMA3_1,HUMAN,To what extent do you lead a purposeful and meaningful life?,human_19,['Spiritual']
PERMA3_1,HUMAN,To what extent do you lead a purposeful and meaningful life?,human_20,['Spiritual']
PERMA3_1,HUMAN,To what extent do you lead a purposeful and meaningful life?,human_21,['Spiritual']
PERMA3_1,HUMAN,To what extent do you lead a purposeful and meaningful life?,human_22,['Spiritual']
PERMA3_1,HUMAN,To what extent do you lead a purposeful and meaningful life?,human_23,['Spiritual']
PERMA3_1,HUMAN,To what extent do you lead a purposeful and meaningful life?,human_24,['Spiritual']
PERMA3_1,HUMAN,To what extent do you lead a purposeful and meaningful life?,human_25,['Occupational']
PERMA3_1,HUMAN,To what extent do you lead a purposeful and meaningful life?,human_26,['Spiritual']
PERMA3_1,HUMAN,To what extent do you lead a purposeful and meaningful life?,human_27,['Spiritual']
PERMA3_1,HUMAN,To what extent do you lead a purposeful and meaningful life?,human_28,['Spiritual']
PERMA3_2,HUMAN,To what extent do you receive help and support from others when you need it?,human_01,['Social']
PERMA3_2,HUMAN,To what extent do you receive help and support from others when you need it?,human_02,['Social']
PERMA3_2,HUMAN,To what extent do you receive help and support from others when you need it?,human_03,['Emotional']
PERMA3_2,HUMAN,To what extent do you receive help and support from others when you need it?,human_04,['Social']
PERMA3_2,HUMAN,To what extent do you receive help and support from others when you need it?,human_05,['Social']
PERMA3_2,HUMAN,To what extent do you receive help and support from others when you need it?,human_06,['Social']
PERMA3_2,HUMAN,To what extent do you receive help and support from others when you need it?,human_07,['Social']
PERMA3_2,HUMAN,To what extent do you receive help and support from others when you need it?,human_08,['Social']
PERMA3_2,HUMAN,To what extent do you receive help and support from others when you need it?,human_09,['Social']
PERMA3_2,HUMAN,To what extent do you receive help and support from others when you need it?,human_10,['Social']
PERMA3_2,HUMAN,To what extent do you receive help and support from others when you need it?,human_11,['Social']
PERMA3_2,HUMAN,To what extent do you receive help and support from others when you need it?,human_12,['Social']
PERMA3_2,HUMAN,To what extent do you receive help and support from others when you need it?,human_13,['Social']
PERMA3_2,HUMAN,To what extent do you receive help and support from others when you need it?,human_14,['Social']
PERMA3_2,HUMAN,To what extent do you receive help and support from others when you need it?,human_15,['Social']
PERMA3_2,HUMAN,To what extent do you receive help and support from others when you need it?,human_16,['Social']
PERMA3_2,HUMAN,To what extent do you receive help and support from others when you need it?,human_17,['Social']
PERMA3_2,HUMAN,To what extent do you receive help and support from others when you need it?,human_18,['Emotional']
PERMA3_2,HUMAN,To what extent do you receive help and support from others when you need it?,human_19,['Social']
PERMA3_2,HUMAN,To what extent do you receive help and support from others when you need it?,human_20,['Social']
PERMA3_2,HUMAN,To what extent do you receive help and support from others when you need it?,human_21,['Environmental']
PERMA3_2,HUMAN,To what extent do you receive help and support from others when you need it?,human_22,['Social']
PERMA3_2,HUMAN,To what extent do you receive help and support from others when you need it?,human_23,['Social']
PERMA3_2,HUMAN,To what extent do you receive help and support from others when you need it?,human_24,['Social']
PERMA3_2,HUMAN,To what extent do you receive help and support from others when you need it?,human_25,['Social']
PERMA3_2,HUMAN,To what extent do you receive help and support from others when you need it?,human_26,['Social']
PERMA3_2,HUMAN,To what extent do you receive help and support from others when you need it?,human_27,['Social']
PERMA3_2,HUMAN,To what extent do you receive help and support from others when you need it?,human_28,['Social']
PERMA3_3,HUMAN,To what extent do you feel that what you do in your life is valuable and worthwhile?,human_01,['Spiritual']
PERMA3_3,HUMAN,To what extent do you feel that what you do in your life is valuable and worthwhile?,human_02,['Emotional']
PERMA3_3,HUMAN,To what extent do you feel that what you do in your life is valuable and worthwhile?,human_03,['Emotional']
PERMA3_3,HUMAN,To what extent do you feel that what you do in your life is valuable and worthwhile?,human_04,['Spiritual']
PERMA3_3,HUMAN,To what extent do you feel that what you do in your life is valuable and worthwhile?,human_05,['Spiritual']
PERMA3_3,HUMAN,To what extent do you feel that what you do in your life is valuable and worthwhile?,human_06,['Emotional']
PERMA3_3,HUMAN,To what extent do you feel that what you do in your life is valuable and worthwhile?,human_07,['Spiritual']
PERMA3_3,HUMAN,To what extent do you feel that what you do in your life is valuable and worthwhile?,human_08,['Spiritual']
PERMA3_3,HUMAN,To what extent do you feel that what you do in your life is valuable and worthwhile?,human_09,['Spiritual']
PERMA3_3,HUMAN,To what extent do you feel that what you do in your life is valuable and worthwhile?,human_10,['Spiritual']
PERMA3_3,HUMAN,To what extent do you feel that what you do in your life is valuable and worthwhile?,human_11,['Spiritual']
PERMA3_3,HUMAN,To what extent do you feel that what you do in your life is valuable and worthwhile?,human_12,['Emotional']
PERMA3_3,HUMAN,To what extent do you feel that what you do in your life is valuable and worthwhile?,human_13,['Spiritual']
PERMA3_3,HUMAN,To what extent do you feel that what you do in your life is valuable and worthwhile?,human_14,['Intellectual']
PERMA3_3,HUMAN,To what extent do you feel that what you do in your life is valuable and worthwhile?,human_15,['Occupational']
PERMA3_3,HUMAN,To what extent do you feel that what you do in your life is valuable and worthwhile?,human_16,['Emotional']
PERMA3_3,HUMAN,To what extent do you feel that what you do in your life is valuable and worthwhile?,human_17,['Emotional']
PERMA3_3,HUMAN,To what extent do you feel that what you do in your life is valuable and worthwhile?,human_18,['Occupational']
PERMA3_3,HUMAN,To what extent do you feel that what you do in your life is valuable and worthwhile?,human_19,['Occupational']
PERMA3_3,HUMAN,To what extent do you feel that what you do in your life is valuable and worthwhile?,human_20,['Spiritual']
PERMA3_3,HUMAN,To what extent do you feel that what you do in your life is valuable and worthwhile?,human_21,['Social']
PERMA3_3,HUMAN,To what extent do you feel that what you do in your life is valuable and worthwhile?,human_22,['Spiritual']
