qid,dataset,text,dimension_model,dimensions,scores,delta
UCLA_10,UCLA,I feel left out,Llama-4,"['Intellectual', 'Spiritual', 'Emotional', 'Physical', 'Occupational', 'Environmental', 'Social']","[0.1931496560573578, 0.18428285419940948, 0.1705467700958252, 0.1652495115995407, 0.141835018992424, 0.13423587381839752, 0.12232324481010437]",0.1
UCLA_11,UCLA,I feel completely alone,Llama-4,"['Spiritual', 'Emotional', 'Social', 'Occupational', 'Intellectual', 'Physical']","[0.19084273278713226, 0.18981832265853882, 0.1657896786928177, 0.1161964014172554, 0.10966044664382935, 0.10175487399101257]",0.1
UCLA_12,UCLA,I am unable to reach out and communicate with those around me,Llama-4,"['Social', 'Spiritual', 'Emotional']","[0.22231405973434448, 0.16441863775253296, 0.1640874147415161]",0.1
UCLA_13,UCLA,My social relationships are superficial,Llama-4,['Social'],[0.46425315737724304],0.1
UCLA_14,UCLA,I feel starved for company,Llama-4,"['Occupational', 'Financial', 'Emotional']","[0.15457002818584442, 0.1068982183933258, 0.06753497570753098]",0.1
UCLA_15,UCLA,No one really knows me well,Llama-4,"['Social', 'Intellectual', 'Spiritual', 'Emotional']","[0.15350794792175293, 0.14405852556228638, 0.1301199346780777, 0.07961957901716232]",0.1
UCLA_16,UCLA,I feel isolated from others,Llama-4,"['Social', 'Emotional']","[0.395344614982605, 0.31183740496635437]",0.1
UCLA_17,UCLA,I am unhappy being so withdrawn,Llama-4,"['Emotional', 'Occupational', 'Financial', 'Intellectual']","[0.17630727589130402, 0.10682041943073273, 0.09996732324361801, 0.09375670552253723]",0.1
UCLA_18,UCLA,It is difficult for me to make friends,Llama-4,['Social'],[0.3863789737224579],0.1
UCLA_19,UCLA,I feel shut out and excluded by others,Llama-4,['Social'],[0.3084937334060669],0.1
UCLA_20,UCLA,People are around me but not with me,Llama-4,['Social'],[0.3062284290790558],0.1
